lpips_1,lpips_2_A,lpips_2_B
"0.021756112575531006, 0.020095208659768105, 0.01961648464202881, 0.02052552066743374, 0.021982228383421898, 0.02438964881002903, 0.02983434684574604, 0.03740709647536278, 0.0468369796872139, 0.0599038265645504","0.021756112575531006, 0.019747039303183556, 0.020282985642552376, 0.024184376001358032, 0.03010634519159794, 0.03840656578540802, 0.04940156638622284, 0.062407683581113815, 0.07791315764188766, 0.0962848961353302","0.05773703008890152, 0.04761017858982086, 0.039328113198280334, 0.03312335163354874, 0.02888667769730091, 0.02735532820224762, 0.029377061873674393, 0.035598672926425934, 0.045490242540836334, 0.0599038265645504"
"0.13139861822128296, 0.05694258585572243, 0.04719582200050354, 0.053826093673706055, 0.05773172527551651, 0.06236123666167259, 0.06512441486120224, 0.06923867017030716, 0.07532674819231033, 0.08237186074256897","0.13139861822128296, 0.17959454655647278, 0.22404418885707855, 0.2651059627532959, 0.2984113395214081, 0.32728198170661926, 0.3515237867832184, 0.37624821066856384, 0.3995302617549896, 0.4167977571487427","0.22439660131931305, 0.18080797791481018, 0.14741180837154388, 0.12192791700363159, 0.10547581315040588, 0.0932205319404602, 0.08559446781873703, 0.08111410588026047, 0.0811227485537529, 0.08237186074256897"
"0.14578522741794586, 0.13107916712760925, 0.11356570571660995, 0.09342938661575317, 0.07324393093585968, 0.05519447103142738, 0.039545346051454544, 0.02868005260825157, 0.021270819008350372, 0.016771435737609863","0.14578522741794586, 0.12612496316432953, 0.11906926333904266, 0.13427694141864777, 0.15872009098529816, 0.18886220455169678, 0.22827528417110443, 0.26733464002609253, 0.3026963174343109, 0.32902026176452637","0.3996656835079193, 0.34123602509498596, 0.27923741936683655, 0.21975037455558777, 0.16704723238945007, 0.11628399044275284, 0.0782233476638794, 0.05017559975385666, 0.030107034370303154, 0.016771435737609863"
"0.029737180098891258, 0.02113027311861515, 0.015750296413898468, 0.01158713735640049, 0.010160190984606743, 0.010365457274019718, 0.011934417299926281, 0.01413220725953579, 0.017592597752809525, 0.020915057510137558","0.029737180098891258, 0.06604889035224915, 0.13279657065868378, 0.18581414222717285, 0.23003827035427094, 0.26336151361465454, 0.28551217913627625, 0.30037081241607666, 0.3136378824710846, 0.32517439126968384","0.3101022243499756, 0.20722055435180664, 0.13324490189552307, 0.08609598875045776, 0.05630137398838997, 0.03842467814683914, 0.027965452522039413, 0.022079691290855408, 0.02012518420815468, 0.020915057510137558"
"0.10877086967229843, 0.09037944674491882, 0.07891887426376343, 0.07223087549209595, 0.06790251284837723, 0.06398850679397583, 0.06257589906454086, 0.06318673491477966, 0.06229068338871002, 0.06188264489173889","0.10877086967229843, 0.09920382499694824, 0.0960102453827858, 0.0992039367556572, 0.10801980644464493, 0.12114915251731873, 0.1406020224094391, 0.16636931896209717, 0.207952618598938, 0.2704034447669983","0.3534711003303528, 0.31530657410621643, 0.2804446220397949, 0.2481190264225006, 0.217304527759552, 0.18661651015281677, 0.15341004729270935, 0.11317610740661621, 0.07594482600688934, 0.06188264489173889"
"0.042922910302877426, 0.049235306680202484, 0.05264311283826828, 0.058945514261722565, 0.06889916956424713, 0.08694726228713989, 0.11421476304531097, 0.13562074303627014, 0.16370820999145508, 0.20812846720218658","0.042922910302877426, 0.08476963639259338, 0.14864136278629303, 0.22928670048713684, 0.3023287057876587, 0.39996474981307983, 0.46656519174575806, 0.5063934922218323, 0.5251795649528503, 0.5441687107086182","0.3956087827682495, 0.3394431173801422, 0.28047969937324524, 0.24009627103805542, 0.23606297373771667, 0.2484453022480011, 0.19674521684646606, 0.17853251099586487, 0.1846422553062439, 0.20812846720218658"
"0.008926425129175186, 0.008077779784798622, 0.007602705620229244, 0.007956660352647305, 0.009953371249139309, 0.009716344997286797, 0.012203378602862358, 0.015220118686556816, 0.020515210926532745, 0.0304755549877882","0.008926425129175186, 0.013293217867612839, 0.020398417487740517, 0.029733378440141678, 0.041851289570331573, 0.05880128592252731, 0.09047964960336685, 0.13642093539237976, 0.21295194327831268, 0.30901038646698","0.30518051981925964, 0.3068143427371979, 0.30512723326683044, 0.2848327159881592, 0.249330073595047, 0.2052546590566635, 0.16440735757350922, 0.10853847116231918, 0.04842020943760872, 0.0304755549877882"
"0.28511637449264526, 0.11911340057849884, 0.06536827981472015, 0.04711848124861717, 0.045537106692790985, 0.05424977093935013, 0.07220866531133652, 0.09546759724617004, 0.12945868074893951, 0.16318267583847046","0.28511637449264526, 0.3222806453704834, 0.3481959104537964, 0.37142977118492126, 0.40267258882522583, 0.4323701560497284, 0.4599166810512543, 0.48588934540748596, 0.5111238360404968, 0.5342010855674744","0.2123001366853714, 0.18928612768650055, 0.17316493391990662, 0.15968146920204163, 0.14792335033416748, 0.14133776724338531, 0.13878941535949707, 0.14247912168502808, 0.1506498157978058, 0.16318267583847046"
"0.1715090572834015, 0.14716295897960663, 0.13121159374713898, 0.11803800612688065, 0.10322455316781998, 0.08311696350574493, 0.0677977204322815, 0.0543898344039917, 0.04400075227022171, 0.03378228098154068","0.1715090572834015, 0.14210239052772522, 0.13225223124027252, 0.13695946335792542, 0.17120978236198425, 0.23833805322647095, 0.2474004328250885, 0.25365179777145386, 0.2742059826850891, 0.30166131258010864","0.44098761677742004, 0.41113200783729553, 0.38523295521736145, 0.35882043838500977, 0.32372939586639404, 0.2510323226451874, 0.15684394538402557, 0.09304417669773102, 0.05430631339550018, 0.03378228098154068"
"0.0682733803987503, 0.051410045474767685, 0.04014473035931587, 0.035852983593940735, 0.0334661602973938, 0.03333083540201187, 0.0298781618475914, 0.033121511340141296, 0.03438093513250351, 0.038008395582437515","0.0682733803987503, 0.06517049670219421, 0.10115882754325867, 0.1456071138381958, 0.18077678978443146, 0.20202670991420746, 0.2141638547182083, 0.22421249747276306, 0.2365228533744812, 0.2505894601345062","0.2484004646539688, 0.2062634974718094, 0.1620658040046692, 0.12188217788934708, 0.09096596390008926, 0.06716608256101608, 0.05226263776421547, 0.04362158104777336, 0.03903947025537491, 0.038008395582437515"
"0.050384268164634705, 0.043458178639411926, 0.041928064078092575, 0.0455603152513504, 0.05392099544405937, 0.06548844277858734, 0.08150556683540344, 0.10203573852777481, 0.13084474205970764, 0.21706530451774597","0.050384268164634705, 0.04268366098403931, 0.041034236550331116, 0.0440574511885643, 0.05163341015577316, 0.06193914636969566, 0.07442950457334518, 0.08619506657123566, 0.09786388278007507, 0.10928542912006378","0.22509029507637024, 0.21439164876937866, 0.2085675597190857, 0.20563919842243195, 0.2035779058933258, 0.2043207436800003, 0.2079596072435379, 0.21144795417785645, 0.2140306979417801, 0.21706530451774597"
"0.1667400747537613, 0.1560690999031067, 0.14300905168056488, 0.12533648312091827, 0.1029977798461914, 0.08206315338611603, 0.06288466602563858, 0.046219974756240845, 0.04036231338977814, 0.05409105494618416","0.1667400747537613, 0.16521398723125458, 0.1687432825565338, 0.17702478170394897, 0.19351573288440704, 0.2190098911523819, 0.2516860365867615, 0.29118338227272034, 0.327118843793869, 0.35264918208122253","0.29221341013908386, 0.26232051849365234, 0.23103296756744385, 0.19880904257297516, 0.16720668971538544, 0.135829359292984, 0.10341351479291916, 0.07617897540330887, 0.05932128056883812, 0.05409105494618416"
"0.12702274322509766, 0.11298760026693344, 0.0933859646320343, 0.0704190731048584, 0.04073075205087662, 0.019623275846242905, 0.014122293330729008, 0.04800933972001076, 0.10175644606351852, 0.16590732336044312","0.12702274322509766, 0.13623371720314026, 0.1448756754398346, 0.1552116721868515, 0.16708442568778992, 0.183839812874794, 0.2138286530971527, 0.24807843565940857, 0.2888520359992981, 0.3367970287799835","0.3521847426891327, 0.3418293595314026, 0.3282245397567749, 0.31287649273872375, 0.29354795813560486, 0.27179354429244995, 0.24985098838806152, 0.22166404128074646, 0.18947380781173706, 0.16590732336044312"
"0.024408817291259766, 0.018978606909513474, 0.01557895541191101, 0.013372888788580894, 0.012260077521204948, 0.011852697469294071, 0.012414965778589249, 0.013835908845067024, 0.015737779438495636, 0.018285222351551056","0.024408817291259766, 0.023525554686784744, 0.031383395195007324, 0.04322967305779457, 0.054714977741241455, 0.06454537808895111, 0.07284006476402283, 0.08010431379079819, 0.08677425235509872, 0.09271357953548431","0.09918374568223953, 0.06855528056621552, 0.04707910865545273, 0.03357651084661484, 0.025288738310337067, 0.019922584295272827, 0.017374051734805107, 0.016866829246282578, 0.017079077661037445, 0.018285222351551056"
