lpips_1,lpips_2_A,lpips_2_B
"0.03487464040517807, 0.023205909878015518, 0.02279619872570038, 0.023898780345916748, 0.02591541036963463, 0.027543023228645325, 0.02894604578614235, 0.03187022730708122, 0.03367186710238457, 0.036979034543037415","0.03487464040517807, 0.04028397426009178, 0.051503732800483704, 0.07128746062517166, 0.1039213240146637, 0.16520461440086365, 0.25122562050819397, 0.28073275089263916, 0.30211323499679565, 0.3249816298484802","0.3511885404586792, 0.32864710688591003, 0.300800085067749, 0.26446449756622314, 0.2268269807100296, 0.20134593546390533, 0.13509821891784668, 0.08308319002389908, 0.049720969051122665, 0.036979034543037415"
"0.16733090579509735, 0.05693015083670616, 0.02844393067061901, 0.015475702472031116, 0.011240015737712383, 0.012591185048222542, 0.01588274911046028, 0.019924387335777283, 0.028291160240769386, 0.03736623749136925","0.16733090579509735, 0.18376454710960388, 0.20263539254665375, 0.21949785947799683, 0.24064487218856812, 0.26041358709335327, 0.28029629588127136, 0.2985936999320984, 0.32032814621925354, 0.34481287002563477","0.3549855053424835, 0.30523088574409485, 0.250667005777359, 0.19584736227989197, 0.1520569771528244, 0.11926281452178955, 0.09203142672777176, 0.06811540573835373, 0.048669345676898956, 0.03736623749136925"
"0.019707756116986275, 0.018685253337025642, 0.01880018413066864, 0.02190777286887169, 0.026149721816182137, 0.034132421016693115, 0.04881744086742401, 0.07472898066043854, 0.13006733357906342, 0.27233046293258667","0.019707756116986275, 0.04151225835084915, 0.08334082365036011, 0.14573757350444794, 0.21576528251171112, 0.2849223017692566, 0.35536256432533264, 0.41269898414611816, 0.44166556000709534, 0.4586036801338196","0.45261648297309875, 0.4088056981563568, 0.35285887122154236, 0.3015209436416626, 0.26785677671432495, 0.23541811108589172, 0.20037192106246948, 0.19886058568954468, 0.2246818095445633, 0.27233046293258667"
"0.05513714253902435, 0.06565062701702118, 0.07617378234863281, 0.08746431767940521, 0.09834583848714828, 0.11408965289592743, 0.12929338216781616, 0.1538701057434082, 0.1778278946876526, 0.22365543246269226","0.05513714253902435, 0.07107538729906082, 0.09287793934345245, 0.1218666136264801, 0.15268917381763458, 0.19397364556789398, 0.2332054078578949, 0.2833220362663269, 0.3519025444984436, 0.4321724474430084","0.38430464267730713, 0.35712796449661255, 0.32942426204681396, 0.3017115592956543, 0.27454155683517456, 0.24702563881874084, 0.22111138701438904, 0.20240701735019684, 0.19920870661735535, 0.22365543246269226"
"0.06773962080478668, 0.05132341384887695, 0.03917059302330017, 0.03296871483325958, 0.031516168266534805, 0.03447853401303291, 0.041290052235126495, 0.04887877777218819, 0.06352472305297852, 0.11045229434967041","0.06773962080478668, 0.09228579699993134, 0.13488958775997162, 0.18167446553707123, 0.22384968400001526, 0.2669816017150879, 0.30136293172836304, 0.3165063261985779, 0.33168965578079224, 0.3454015552997589","0.32364246249198914, 0.2812913954257965, 0.23869509994983673, 0.20206773281097412, 0.17233918607234955, 0.14771082997322083, 0.12577754259109497, 0.11152425408363342, 0.10704376548528671, 0.11045229434967041"
"0.04511303827166557, 0.05288083106279373, 0.06298085302114487, 0.07295475900173187, 0.08140801638364792, 0.09179607778787613, 0.09712478518486023, 0.1096113994717598, 0.14639988541603088, 0.2482960820198059","0.04511303827166557, 0.05467497557401657, 0.0808485820889473, 0.12518095970153809, 0.19805920124053955, 0.2567844092845917, 0.28436917066574097, 0.311861515045166, 0.3449647128582001, 0.3932037949562073","0.5563833117485046, 0.5396184325218201, 0.5189213156700134, 0.4829731583595276, 0.44876521825790405, 0.40561583638191223, 0.35712334513664246, 0.3224126994609833, 0.29408732056617737, 0.2482960820198059"
"0.1328841745853424, 0.10435645282268524, 0.10373808443546295, 0.1050717681646347, 0.1026209369301796, 0.0950617641210556, 0.08468881249427795, 0.07856287062168121, 0.07074025273323059, 0.06164559721946716","0.1328841745853424, 0.17256537079811096, 0.20756761729717255, 0.238972008228302, 0.2693535387516022, 0.29682207107543945, 0.32509326934814453, 0.37167298793792725, 0.4540984630584717, 0.5548006892204285","0.4584818482398987, 0.42594635486602783, 0.3966566026210785, 0.3716164827346802, 0.34782350063323975, 0.3247043192386627, 0.2794140875339508, 0.20605915784835815, 0.10587427765130997, 0.06164559721946716"
"0.02746790647506714, 0.02905132994055748, 0.03277737647294998, 0.042453423142433167, 0.060589499771595, 0.08990169316530228, 0.12190483510494232, 0.15643881261348724, 0.19618141651153564, 0.22443683445453644","0.02746790647506714, 0.04097660630941391, 0.05910274013876915, 0.08161613345146179, 0.11207383871078491, 0.15246470272541046, 0.1955232471227646, 0.25120648741722107, 0.3202066123485565, 0.37592780590057373","0.20752805471420288, 0.1951688826084137, 0.18739072978496552, 0.17959365248680115, 0.1761302798986435, 0.1751330941915512, 0.16881830990314484, 0.1725999265909195, 0.19576136767864227, 0.22443683445453644"
"0.13901005685329437, 0.13603149354457855, 0.12420202791690826, 0.10962165147066116, 0.09036371111869812, 0.06950544565916061, 0.05627793073654175, 0.04202074557542801, 0.05160088092088699, 0.06984423846006393","0.13901005685329437, 0.16887228190898895, 0.20906297862529755, 0.25700435042381287, 0.30265524983406067, 0.3458949327468872, 0.3811979591846466, 0.41986027359962463, 0.4555007815361023, 0.4849112927913666","0.42295241355895996, 0.371929794549942, 0.3249828517436981, 0.2729678750038147, 0.22560551762580872, 0.1885935664176941, 0.15517832338809967, 0.12821805477142334, 0.08807405829429626, 0.06984423846006393"
"0.16087444126605988, 0.1247691661119461, 0.0846128836274147, 0.04746732488274574, 0.021668462082743645, 0.012505804188549519, 0.020523838698863983, 0.03585740178823471, 0.050550494343042374, 0.07088304311037064","0.16087444126605988, 0.1428489238023758, 0.1256919950246811, 0.11575457453727722, 0.11811862140893936, 0.131675586104393, 0.15813563764095306, 0.1958097219467163, 0.24089732766151428, 0.294007271528244","0.29913759231567383, 0.26380085945129395, 0.2273019254207611, 0.19196781516075134, 0.16072992980480194, 0.13347227871418, 0.10690175741910934, 0.0849367082118988, 0.07172572612762451, 0.07088304311037064"
"0.15605571866035461, 0.13424773514270782, 0.11251872032880783, 0.09512431919574738, 0.07948562502861023, 0.06688976287841797, 0.05287262424826622, 0.04230189323425293, 0.03542774170637131, 0.03131001070141792","0.15605571866035461, 0.17003799974918365, 0.20052072405815125, 0.23542658984661102, 0.2660887539386749, 0.301754355430603, 0.3322880268096924, 0.35726481676101685, 0.3775065541267395, 0.3907126784324646","0.32655584812164307, 0.2571398615837097, 0.20128756761550903, 0.15871433913707733, 0.12587162852287292, 0.10414858162403107, 0.0793946236371994, 0.051482461392879486, 0.03562796115875244, 0.03131001070141792"
"0.19737398624420166, 0.19313809275627136, 0.18862569332122803, 0.17936626076698303, 0.17057162523269653, 0.16543090343475342, 0.15742197632789612, 0.1479216068983078, 0.135162815451622, 0.12085174024105072","0.19737398624420166, 0.20261625945568085, 0.2095983475446701, 0.21681144833564758, 0.22770601511001587, 0.2409411519765854, 0.2569122314453125, 0.278689980506897, 0.29961079359054565, 0.3301914930343628","0.278041273355484, 0.265598863363266, 0.2511730194091797, 0.23430517315864563, 0.21635109186172485, 0.19762296974658966, 0.1758936047554016, 0.15581253170967102, 0.13685524463653564, 0.12085174024105072"
"0.04066874459385872, 0.02680564485490322, 0.022097496315836906, 0.02850113809108734, 0.045495204627513885, 0.06850067526102066, 0.09932448714971542, 0.13109679520130157, 0.16099855303764343, 0.18586713075637817","0.04066874459385872, 0.03847700357437134, 0.05064023286104202, 0.07024350017309189, 0.0949358120560646, 0.12706276774406433, 0.16760629415512085, 0.2142883688211441, 0.26071783900260925, 0.3060416281223297","0.3256125748157501, 0.3251754343509674, 0.31166961789131165, 0.2829079329967499, 0.2564953863620758, 0.23184478282928467, 0.21122954785823822, 0.19735480844974518, 0.18739908933639526, 0.18586713075637817"
"0.05491660535335541, 0.06668755412101746, 0.06877028942108154, 0.08291620761156082, 0.09161140024662018, 0.0938851460814476, 0.08820181339979172, 0.0869063213467598, 0.07983003556728363, 0.07167906314134598","0.05491660535335541, 0.10965092480182648, 0.19468775391578674, 0.3013747036457062, 0.448617547750473, 0.5623077750205994, 0.5518574714660645, 0.5181779861450195, 0.4899698495864868, 0.4765376150608063","0.4802590310573578, 0.4823015034198761, 0.48949962854385376, 0.5189998745918274, 0.5580695867538452, 0.389199435710907, 0.2611096203327179, 0.16878566145896912, 0.10436283051967621, 0.07167906314134598"
"0.14086878299713135, 0.15285788476467133, 0.16157247126102448, 0.16461186110973358, 0.1573771983385086, 0.15370729565620422, 0.1507340520620346, 0.14681148529052734, 0.14048179984092712, 0.12288475781679153","0.14086878299713135, 0.14292819797992706, 0.164003387093544, 0.24604986608028412, 0.29554396867752075, 0.33064183592796326, 0.34288498759269714, 0.3492186367511749, 0.3599144220352173, 0.3736807703971863","0.5348106622695923, 0.5220773816108704, 0.508372962474823, 0.44737088680267334, 0.3077637851238251, 0.24004700779914856, 0.2005433291196823, 0.17091184854507446, 0.14297065138816833, 0.12288475781679153"
"0.10417896509170532, 0.07681819796562195, 0.059791985899209976, 0.05162418633699417, 0.046666380017995834, 0.039439402520656586, 0.034070149064064026, 0.03224259242415428, 0.03323349356651306, 0.03775137662887573","0.10417896509170532, 0.12131857872009277, 0.18244321644306183, 0.25629302859306335, 0.28189507126808167, 0.3035956919193268, 0.32029515504837036, 0.3343033194541931, 0.34778618812561035, 0.36232927441596985","0.2890467047691345, 0.2613699734210968, 0.23019710183143616, 0.16228783130645752, 0.09536151587963104, 0.06226284056901932, 0.045675233006477356, 0.03729371353983879, 0.03518208861351013, 0.03775137662887573"
"0.2151966094970703, 0.10163958370685577, 0.06130043417215347, 0.04390772804617882, 0.033978600054979324, 0.027467899024486542, 0.023022864013910294, 0.019054356962442398, 0.014592859894037247, 0.010530221275985241","0.2151966094970703, 0.24731352925300598, 0.28157585859298706, 0.31768858432769775, 0.3459860682487488, 0.3717063367366791, 0.3955449163913727, 0.4198721647262573, 0.4439145028591156, 0.47163742780685425","0.2715791165828705, 0.2166365087032318, 0.17463237047195435, 0.14360350370407104, 0.11170125007629395, 0.08114390075206757, 0.051364295184612274, 0.027746621519327164, 0.013964947313070297, 0.010530221275985241"
"0.06791675835847855, 0.04421398416161537, 0.02382577210664749, 0.01222237478941679, 0.009857472963631153, 0.016650894656777382, 0.029492909088730812, 0.05187093839049339, 0.0775022953748703, 0.13181018829345703","0.06791675835847855, 0.07392717897891998, 0.08993127942085266, 0.11236702650785446, 0.13916826248168945, 0.1660178303718567, 0.19378870725631714, 0.2198360562324524, 0.24315008521080017, 0.2656382918357849","0.18524421751499176, 0.16687312722206116, 0.15180562436580658, 0.13824963569641113, 0.12672622501850128, 0.11751454323530197, 0.1125105693936348, 0.11472579836845398, 0.12051562964916229, 0.13181018829345703"
"0.025649290531873703, 0.04058298468589783, 0.05600666627287865, 0.075076162815094, 0.09100082516670227, 0.1028820276260376, 0.12096576392650604, 0.13349978625774384, 0.13758550584316254, 0.1425134837627411","0.025649290531873703, 0.047129906713962555, 0.08987726271152496, 0.14248159527778625, 0.20357652008533478, 0.26537322998046875, 0.33706116676330566, 0.43014317750930786, 0.4800301194190979, 0.4950713515281677","0.4881642758846283, 0.4244328737258911, 0.36617642641067505, 0.3106289803981781, 0.25907427072525024, 0.21941490471363068, 0.19369645416736603, 0.19098496437072754, 0.15300492942333221, 0.1425134837627411"
"0.11735314130783081, 0.08056631684303284, 0.05974063649773598, 0.047305140644311905, 0.03589664772152901, 0.027952890843153, 0.025076687335968018, 0.031885430216789246, 0.061464786529541016, 0.1703064739704132","0.11735314130783081, 0.11736355721950531, 0.12306064367294312, 0.13247182965278625, 0.14077861607074738, 0.15239360928535461, 0.1692034900188446, 0.1876825988292694, 0.21246184408664703, 0.2570563554763794","0.4603644013404846, 0.43282076716423035, 0.40574371814727783, 0.37855231761932373, 0.35738229751586914, 0.3361128568649292, 0.3122040331363678, 0.28855809569358826, 0.24837513267993927, 0.1703064739704132"
"0.1587015986442566, 0.13288456201553345, 0.10372579097747803, 0.076532743871212, 0.049869608134031296, 0.03261417895555496, 0.023050669580698013, 0.020915882661938667, 0.026210572570562363, 0.035825274884700775","0.1587015986442566, 0.1474679410457611, 0.14437097311019897, 0.17029958963394165, 0.22646789252758026, 0.24125133454799652, 0.2694343626499176, 0.30499202013015747, 0.3401847183704376, 0.37455514073371887","0.45940446853637695, 0.4485369920730591, 0.4327118396759033, 0.4088284969329834, 0.30677706003189087, 0.2110682725906372, 0.1446741819381714, 0.0976707711815834, 0.06017234921455383, 0.035825274884700775"
"0.017929911613464355, 0.01500161737203598, 0.013944038189947605, 0.013829486444592476, 0.01862233504652977, 0.032713327556848526, 0.04927855357527733, 0.06182397902011871, 0.09913672506809235, 0.15459536015987396","0.017929911613464355, 0.04015457630157471, 0.09128815680742264, 0.18255075812339783, 0.28771936893463135, 0.46990707516670227, 0.5486542582511902, 0.5292947888374329, 0.4785814881324768, 0.4633953273296356","0.4921647310256958, 0.4558938443660736, 0.4030979871749878, 0.34877097606658936, 0.2899744212627411, 0.27044913172721863, 0.15919621288776398, 0.1198607012629509, 0.11683927476406097, 0.15459536015987396"
"0.14931970834732056, 0.1474296599626541, 0.14510245621204376, 0.13460834324359894, 0.1264040470123291, 0.12980951368808746, 0.12195659428834915, 0.1184307187795639, 0.11161202937364578, 0.10569243133068085","0.14931970834732056, 0.1302567422389984, 0.12644797563552856, 0.15394291281700134, 0.21062685549259186, 0.3274216949939728, 0.3518516719341278, 0.3867172300815582, 0.43252652883529663, 0.4723981022834778","0.4885109066963196, 0.47873133420944214, 0.4680359959602356, 0.4541517198085785, 0.43256983160972595, 0.36283954977989197, 0.2482951283454895, 0.19196873903274536, 0.15117372572422028, 0.10569243133068085"
"0.0896267294883728, 0.07253843545913696, 0.06137475371360779, 0.051044560968875885, 0.04185978323221207, 0.033850204199552536, 0.030145974829792976, 0.03517128527164459, 0.04761168360710144, 0.062103379517793655","0.0896267294883728, 0.091294065117836, 0.09369872510433197, 0.10686346143484116, 0.13357721269130707, 0.1901443600654602, 0.27003365755081177, 0.3497728705406189, 0.40149062871932983, 0.4426949620246887","0.4300309419631958, 0.4189161956310272, 0.4080345928668976, 0.3738056421279907, 0.32462552189826965, 0.26451200246810913, 0.19743743538856506, 0.11025716364383698, 0.06833264976739883, 0.062103379517793655"
"0.0538814552128315, 0.05357808619737625, 0.05161517113447189, 0.05188162252306938, 0.04425261542201042, 0.03255892172455788, 0.018401701003313065, 0.010962406173348427, 0.03317105770111084, 0.037515927106142044","0.0538814552128315, 0.06440111249685287, 0.1043207049369812, 0.16295918822288513, 0.2327396273612976, 0.3382689952850342, 0.5085291862487793, 0.5304914712905884, 0.5272733569145203, 0.5344994068145752","0.538514256477356, 0.5056901574134827, 0.4701118469238281, 0.4337438941001892, 0.39508333802223206, 0.3641618490219116, 0.2714498043060303, 0.17287024855613708, 0.09336449950933456, 0.037515927106142044"
"0.17488881945610046, 0.21295315027236938, 0.2051803320646286, 0.16723471879959106, 0.13249582052230835, 0.10228095203638077, 0.08402642607688904, 0.06971029192209244, 0.05719185620546341, 0.04918690025806427","0.17488881945610046, 0.16321749985218048, 0.1741105020046234, 0.21079783141613007, 0.25618839263916016, 0.29064124822616577, 0.3178809583187103, 0.3365134596824646, 0.3496699333190918, 0.3596583306789398","0.4123385548591614, 0.33529868721961975, 0.2530030310153961, 0.17984387278556824, 0.12585751712322235, 0.0878463089466095, 0.06538497656583786, 0.052542466670274734, 0.04614744335412979, 0.04918690025806427"
"0.10518745332956314, 0.08588650822639465, 0.06537213921546936, 0.05025559291243553, 0.03633137792348862, 0.022551659494638443, 0.012753749266266823, 0.009736587293446064, 0.012567645870149136, 0.02066897600889206","0.10518745332956314, 0.08330120146274567, 0.07407217472791672, 0.07987168431282043, 0.0999322310090065, 0.13061493635177612, 0.16611409187316895, 0.19825108349323273, 0.23160450160503387, 0.2641124427318573","0.3091157376766205, 0.2591765820980072, 0.21401447057724, 0.16854442656040192, 0.1241513043642044, 0.08266445249319077, 0.049520839005708694, 0.027961216866970062, 0.019034497439861298, 0.02066897600889206"
"0.006322039291262627, 0.006940234452486038, 0.009235895238816738, 0.0128824133425951, 0.01830992102622986, 0.02797904796898365, 0.04143160209059715, 0.056623365730047226, 0.07019338756799698, 0.08559593558311462","0.006322039291262627, 0.012250328436493874, 0.03342606499791145, 0.07288741320371628, 0.12617763876914978, 0.188897505402565, 0.2531503438949585, 0.31354010105133057, 0.3853645920753479, 0.45105451345443726","0.41456687450408936, 0.3777763843536377, 0.33435600996017456, 0.28759390115737915, 0.2362777590751648, 0.18123260140419006, 0.13449819386005402, 0.09793484210968018, 0.08064692467451096, 0.08559593558311462"
"0.02014867030084133, 0.023125747218728065, 0.032145846635103226, 0.0378914400935173, 0.03212512657046318, 0.029790686443448067, 0.027015969157218933, 0.02200423553586006, 0.015977706760168076, 0.12676756083965302","0.02014867030084133, 0.05072127282619476, 0.10258487612009048, 0.1972220093011856, 0.30049052834510803, 0.4526843726634979, 0.5808565616607666, 0.5470016002655029, 0.5176020860671997, 0.5145884156227112","0.5232736468315125, 0.4785010814666748, 0.42325547337532043, 0.3709482252597809, 0.3284950256347656, 0.3039557933807373, 0.23895305395126343, 0.21638233959674835, 0.19097565114498138, 0.12676756083965302"
"0.18835747241973877, 0.17091968655586243, 0.16858401894569397, 0.15746627748012543, 0.13008081912994385, 0.09722796082496643, 0.06643000990152359, 0.049893274903297424, 0.04511376470327377, 0.05050451681017876","0.18835747241973877, 0.1574728637933731, 0.13448306918144226, 0.13867957890033722, 0.14965848624706268, 0.1771228313446045, 0.2068483978509903, 0.2331828773021698, 0.2515074610710144, 0.26462221145629883","0.4157951772212982, 0.36760392785072327, 0.3200947344303131, 0.2576509416103363, 0.20044828951358795, 0.1483449935913086, 0.11155308783054352, 0.08538535237312317, 0.06649353355169296, 0.05050451681017876"
"0.1387615203857422, 0.13739775121212006, 0.134671151638031, 0.13080161809921265, 0.11956247687339783, 0.10218921303749084, 0.08138702809810638, 0.07098686695098877, 0.061084285378456116, 0.04288852959871292","0.1387615203857422, 0.12563559412956238, 0.11860993504524231, 0.12497588247060776, 0.16045427322387695, 0.21889737248420715, 0.3217160999774933, 0.4734489321708679, 0.4766141474246979, 0.4395936131477356","0.5172807574272156, 0.4969276189804077, 0.47521883249282837, 0.44387707114219666, 0.4092145562171936, 0.3697411119937897, 0.32113856077194214, 0.23958340287208557, 0.1170034259557724, 0.04288852959871292"
"0.011081025004386902, 0.016647102311253548, 0.03034858964383602, 0.05550573021173477, 0.07035689800977707, 0.07969361543655396, 0.1002768948674202, 0.13122911751270294, 0.1700194925069809, 0.198594331741333","0.011081025004386902, 0.04528564214706421, 0.09872245788574219, 0.16703389585018158, 0.2465759515762329, 0.3358415365219116, 0.4114246368408203, 0.4728838801383972, 0.5305943489074707, 0.5689131021499634","0.5345686078071594, 0.5273928642272949, 0.5140289664268494, 0.46336227655410767, 0.3561234474182129, 0.2461276650428772, 0.18382447957992554, 0.16550388932228088, 0.1756070852279663, 0.198594331741333"
"0.0598638616502285, 0.08015573769807816, 0.11027505248785019, 0.13130329549312592, 0.14628230035305023, 0.14462794363498688, 0.1402447372674942, 0.14812664687633514, 0.1644325703382492, 0.19278520345687866","0.0598638616502285, 0.08599074184894562, 0.11957920342683792, 0.1593199074268341, 0.20625771582126617, 0.2530863285064697, 0.29522690176963806, 0.33800962567329407, 0.3714306652545929, 0.4112939238548279","0.40091127157211304, 0.36465540528297424, 0.323484867811203, 0.2861790359020233, 0.2537296414375305, 0.22269022464752197, 0.1966884434223175, 0.18122296035289764, 0.17608852684497833, 0.19278520345687866"
"0.1548892706632614, 0.14471176266670227, 0.13361810147762299, 0.12324284762144089, 0.11173469573259354, 0.10080117732286453, 0.08905598521232605, 0.07830840349197388, 0.06716562807559967, 0.05668472498655319","0.1548892706632614, 0.1486179530620575, 0.14433553814888, 0.14176657795906067, 0.139258474111557, 0.1385204792022705, 0.1375267505645752, 0.13885362446308136, 0.14004449546337128, 0.14237861335277557","0.172947958111763, 0.15838779509067535, 0.14458227157592773, 0.13137578964233398, 0.11665967106819153, 0.10279159247875214, 0.08928857743740082, 0.07786118984222412, 0.06662817299365997, 0.05668472498655319"
"0.09863695502281189, 0.05253160372376442, 0.037700824439525604, 0.03227050602436066, 0.03918173536658287, 0.05122619867324829, 0.0673041045665741, 0.09366534650325775, 0.13142475485801697, 0.1619347333908081","0.09863695502281189, 0.10958626866340637, 0.12543527781963348, 0.14211297035217285, 0.1728922724723816, 0.2124520093202591, 0.2595154643058777, 0.30882298946380615, 0.3571487069129944, 0.4044525623321533","0.33882349729537964, 0.32191407680511475, 0.30542245507240295, 0.2894943058490753, 0.2658274173736572, 0.21082761883735657, 0.16503377258777618, 0.1469966173171997, 0.14672310650348663, 0.1619347333908081"
"0.032974157482385635, 0.02623607963323593, 0.021970558911561966, 0.017504945397377014, 0.013643454760313034, 0.010355716571211815, 0.007400834932923317, 0.006385633256286383, 0.005893321707844734, 0.006636881269514561","0.032974157482385635, 0.0537189245223999, 0.1007203534245491, 0.15286345779895782, 0.19524502754211426, 0.2303614616394043, 0.25062981247901917, 0.2677100598812103, 0.28253060579299927, 0.29398027062416077","0.31163671612739563, 0.2302228957414627, 0.15565890073776245, 0.09840492904186249, 0.06315238028764725, 0.04185674339532852, 0.026827212423086166, 0.016211649402976036, 0.009256596677005291, 0.006636881269514561"
"0.020349910482764244, 0.028087690472602844, 0.03849156200885773, 0.0531294122338295, 0.06778794527053833, 0.07650884240865707, 0.0854509025812149, 0.09329695254564285, 0.10039542615413666, 0.10006111115217209","0.020349910482764244, 0.051727015525102615, 0.12269261479377747, 0.1756574809551239, 0.24449540674686432, 0.332242488861084, 0.39186131954193115, 0.4606294631958008, 0.5151491761207581, 0.551303505897522","0.44520676136016846, 0.40915942192077637, 0.3864513337612152, 0.29556864500045776, 0.19570182263851166, 0.12843935191631317, 0.08695902675390244, 0.07358700782060623, 0.08001089096069336, 0.10006111115217209"
"0.05015983060002327, 0.04457075893878937, 0.04968344792723656, 0.06826642155647278, 0.09369132667779922, 0.11141461133956909, 0.1255185604095459, 0.13344581425189972, 0.14020168781280518, 0.1476273536682129","0.05015983060002327, 0.054556842893362045, 0.08796866238117218, 0.1638723760843277, 0.2438574880361557, 0.2745087742805481, 0.28880420327186584, 0.2982933223247528, 0.30910390615463257, 0.32161852717399597","0.33973193168640137, 0.30744293332099915, 0.2779228687286377, 0.2333773970603943, 0.17849604785442352, 0.15523689985275269, 0.14507435262203217, 0.13925157487392426, 0.14042377471923828, 0.1476273536682129"
"0.11497567594051361, 0.11630561947822571, 0.11343128234148026, 0.11230087280273438, 0.10863742232322693, 0.10687735676765442, 0.10754239559173584, 0.11257906258106232, 0.12956547737121582, 0.1646726280450821","0.11497567594051361, 0.11217553913593292, 0.1244460940361023, 0.1603393852710724, 0.21410897374153137, 0.26811328530311584, 0.2921536862850189, 0.30429762601852417, 0.31635165214538574, 0.3265710771083832","0.4798208773136139, 0.4542120695114136, 0.41543158888816833, 0.3757043182849884, 0.3404695391654968, 0.29414257407188416, 0.24516484141349792, 0.2035871148109436, 0.17576707899570465, 0.1646726280450821"
"0.1447106897830963, 0.12418490648269653, 0.10376779735088348, 0.07735935598611832, 0.05305860936641693, 0.03506585210561752, 0.028392156586050987, 0.03736397251486778, 0.058525461703538895, 0.08996233344078064","0.1447106897830963, 0.1314951330423355, 0.13214878737926483, 0.1370449811220169, 0.1467960923910141, 0.15805061161518097, 0.1720428466796875, 0.1912343055009842, 0.21638022363185883, 0.2465103715658188","0.18583987653255463, 0.16044530272483826, 0.1468956470489502, 0.13333949446678162, 0.11983580887317657, 0.10566025972366333, 0.09266576915979385, 0.08496823906898499, 0.08192218840122223, 0.08996233344078064"
"0.1354658305644989, 0.10009577870368958, 0.07364614307880402, 0.05297233164310455, 0.0355263352394104, 0.023083696141839027, 0.013882974162697792, 0.008615635335445404, 0.004880939610302448, 0.0027118956204503775","0.1354658305644989, 0.20400062203407288, 0.27787211537361145, 0.33110493421554565, 0.37911301851272583, 0.42920783162117004, 0.4803624749183655, 0.5273361802101135, 0.5650268197059631, 0.5918243527412415","0.6343286037445068, 0.6114174723625183, 0.530017614364624, 0.43933582305908203, 0.3306874930858612, 0.23311418294906616, 0.13683313131332397, 0.0595947727560997, 0.01625477336347103, 0.0027118956204503775"
"0.04572141915559769, 0.03862391412258148, 0.03555445000529289, 0.03515949472784996, 0.03399834781885147, 0.033546824008226395, 0.03392025828361511, 0.033709559589624405, 0.03328139707446098, 0.03143870085477829","0.04572141915559769, 0.04194460064172745, 0.04113706946372986, 0.04427838325500488, 0.051388293504714966, 0.0634685754776001, 0.0815092995762825, 0.10580936819314957, 0.13646066188812256, 0.17323824763298035","0.19394159317016602, 0.1761629432439804, 0.15782584249973297, 0.13733138144016266, 0.11587294191122055, 0.09424364566802979, 0.07391030341386795, 0.0550261065363884, 0.040145959705114365, 0.03143870085477829"
"0.01993936114013195, 0.02615053951740265, 0.03547149896621704, 0.04503641277551651, 0.051418155431747437, 0.053460657596588135, 0.04863091930747032, 0.037352483719587326, 0.03906076401472092, 0.07937471568584442","0.01993936114013195, 0.03588179871439934, 0.06398294121026993, 0.1017366349697113, 0.14768747985363007, 0.1982942670583725, 0.24575313925743103, 0.29023125767707825, 0.3360431492328644, 0.38493287563323975","0.41768133640289307, 0.39346691966056824, 0.3661231994628906, 0.3373306393623352, 0.3089832663536072, 0.2792467772960663, 0.24257388710975647, 0.19900622963905334, 0.1455203741788864, 0.07937471568584442"
"0.043280359357595444, 0.034879088401794434, 0.027417974546551704, 0.02210434526205063, 0.027050331234931946, 0.03692574054002762, 0.05215871334075928, 0.07419825345277786, 0.08787249773740768, 0.10378742963075638","0.043280359357595444, 0.051151908934116364, 0.06984776258468628, 0.080171599984169, 0.13690157234668732, 0.21512889862060547, 0.28621476888656616, 0.3407455086708069, 0.3879703879356384, 0.43445587158203125","0.4056057631969452, 0.38941240310668945, 0.3391887843608856, 0.2603070139884949, 0.1885940134525299, 0.14272244274616241, 0.11377014219760895, 0.098015695810318, 0.09643898904323578, 0.10378742963075638"
"0.17481890320777893, 0.14992937445640564, 0.12881000339984894, 0.10878169536590576, 0.09822885692119598, 0.09551896154880524, 0.09178352355957031, 0.09338556230068207, 0.09135652333498001, 0.09418924152851105","0.17481890320777893, 0.1732238531112671, 0.1720781773328781, 0.17396052181720734, 0.1774851381778717, 0.18417945504188538, 0.19182559847831726, 0.19664540886878967, 0.20242032408714294, 0.2238827347755432","0.22479203343391418, 0.21453744173049927, 0.20177751779556274, 0.18867743015289307, 0.17655426263809204, 0.1643921434879303, 0.14795830845832825, 0.1261226385831833, 0.10253170132637024, 0.09418924152851105"
"0.01014956459403038, 0.008490991778671741, 0.011475326493382454, 0.01958944834768772, 0.029395215213298798, 0.044848062098026276, 0.06743606925010681, 0.099034883081913, 0.1396426260471344, 0.18260669708251953","0.01014956459403038, 0.024546954780817032, 0.05418241024017334, 0.083457350730896, 0.11714009195566177, 0.1552131325006485, 0.19272080063819885, 0.22829347848892212, 0.2596406638622284, 0.28773927688598633","0.2811521589756012, 0.2425670027732849, 0.21052469313144684, 0.18228031694889069, 0.16378182172775269, 0.15478861331939697, 0.15331318974494934, 0.1595349907875061, 0.1697062849998474, 0.18260669708251953"
